# ArraySize TwoWayMergeSortSteps ThreeWayMergeSortSteps
1 0 0
2 2 1
3 5 3
4 8 5
5 12 8
6 16 9
7 20 12
8 24 15
9 29 18
10 34 21
11 39 25
12 44 27
13 49 31
14 54 33
15 59 39
16 64 41
17 70 45
18 76 45
19 82 49
20 88 53
21 94 57
22 100 61
23 106 65
24 112 69
25 118 73
26 124 77
27 130 81
28 136 85
29 142 90
30 148 93
31 154 98
32 160 101
33 167 108
34 174 111
35 181 116
36 188 117
37 195 122
38 202 125
39 209 132
40 216 135
41 223 142
42 230 141
43 237 148
44 244 151
45 251 162
46 258 165
47 265 170
48 272 171
49 279 176
50 286 177
51 293 186
52 300 187
53 307 192
54 314 189
55 321 194
56 328 199
57 335 204
58 342 209
59 349 214
60 356 219
61 363 224
62 370 229
63 377 234
64 384 239
65 392 244
66 400 249
67 408 254
68 416 259
69 424 264
70 432 269
71 440 274
72 448 279
73 456 284
74 464 289
75 472 294
76 480 299
77 488 304
78 496 309
79 504 314
80 512 319
81 520 324
82 528 329
83 536 335
84 544 339
85 552 345
86 560 349
87 568 357
88 576 361
89 584 367
90 592 369
91 600 375
92 608 379
93 616 387
94 624 391
95 632 399
96 640 399
97 648 407
98 656 411
99 664 423
100 672 427
101 680 433
102 688 435
103 696 441
104 704 443
105 712 453
106 720 455
107 728 461
108 736 459
109 744 465
110 752 469
111 760 477
112 768 481
113 776 489
114 784 489
115 792 497
116 800 501
117 808 513
118 816 517
119 824 525
120 832 525
121 840 533
122 848 533
123 856 549
124 864 549
125 872 557
126 880 549
127 888 557
128 896 561
129 905 573
130 914 577
131 923 589
132 932 585
133 941 597
134 950 601
135 959 621
136 968 625
137 977 631
138 986 633
139 995 639
140 1004 641
141 1013 651
142 1022 653
143 1031 659
144 1040 657
145 1049 663
146 1058 665
147 1067 675
148 1076 677
149 1085 687
150 1094 681
151 1103 691
152 1112 693
153 1121 711
154 1130 713
155 1139 719
156 1148 717
157 1157 723
158 1166 721
159 1175 735
160 1184 733
161 1193 739
162 1202 729
163 1211 735
164 1220 741
165 1229 747
166 1238 753
167 1247 759
168 1256 765
169 1265 771
170 1274 777
171 1283 783
172 1292 789
173 1301 795
174 1310 801
175 1319 807
176 1328 813
177 1337 819
178 1346 825
179 1355 831
180 1364 837
181 1373 843
182 1382 849
183 1391 855
184 1400 861
185 1409 867
186 1418 873
187 1427 879
188 1436 885
189 1445 891
190 1454 897
191 1463 903
192 1472 909
193 1481 915
194 1490 921
195 1499 927
196 1508 933
197 1517 939
198 1526 945
199 1535 951
200 1544 957
201 1553 963
202 1562 969
203 1571 975
204 1580 981
205 1589 987
206 1598 993
207 1607 999
208 1616 1005
209 1625 1011
210 1634 1017
211 1643 1023
212 1652 1029
213 1661 1035
214 1670 1041
215 1679 1047
216 1688 1053
217 1697 1059
218 1706 1065
219 1715 1071
220 1724 1077
221 1733 1083
222 1742 1089
223 1751 1095
224 1760 1101
225 1769 1107
226 1778 1113
227 1787 1119
228 1796 1125
229 1805 1131
230 1814 1137
231 1823 1143
232 1832 1149
233 1841 1155
234 1850 1161
235 1859 1167
236 1868 1173
237 1877 1179
238 1886 1185
239 1895 1191
240 1904 1197
241 1913 1203
242 1922 1209
243 1931 1215
244 1940 1221
245 1949 1228
246 1958 1233
247 1967 1240
248 1976 1245
249 1985 1254
250 1994 1259
251 2003 1266
252 2012 1269
253 2021 1276
254 2030 1281
255 2039 1290
256 2048 1295
257 2058 1304
258 2068 1305
259 2078 1314
260 2088 1319
261 2098 1332
262 2108 1337
263 2118 1344
264 2128 1347
265 2138 1354
266 2148 1357
267 2158 1368
268 2168 1371
269 2178 1378
270 2188 1377
271 2198 1384
272 2208 1389
273 2218 1398
274 2228 1403
275 2238 1412
276 2248 1413
277 2258 1422
278 2268 1427
279 2278 1440
280 2288 1445
281 2298 1454
282 2308 1455
283 2318 1464
284 2328 1465
285 2338 1482
286 2348 1483
287 2358 1492
288 2368 1485
289 2378 1494
290 2388 1499
291 2398 1512
292 2408 1517
293 2418 1530
294 2428 1527
295 2438 1540
296 2448 1545
297 2458 1566
298 2468 1571
299 2478 1578
300 2488 1581
301 2498 1588
302 2508 1591
303 2518 1602
304 2528 1605
305 2538 1612
306 2548 1611
307 2558 1618
308 2568 1621
309 2578 1632
310 2588 1635
311 2598 1646
312 2608 1641
313 2618 1652
314 2628 1655
315 2638 1674
316 2648 1677
317 2658 1684
318 2668 1683
319 2678 1690
320 2688 1689
321 2698 1704
322 2708 1703
323 2718 1710
324 2728 1701
325 2738 1708
326 2748 1713
327 2758 1722
328 2768 1727
329 2778 1736
330 2788 1737
331 2798 1746
332 2808 1751
333 2818 1764
334 2828 1769
335 2838 1778
336 2848 1779
337 2858 1788
338 2868 1789
339 2878 1806
340 2888 1807
341 2898 1816
342 2908 1809
343 2918 1818
344 2928 1823
345 2938 1836
346 2948 1841
347 2958 1854
348 2968 1851
349 2978 1864
350 2988 1869
351 2998 1890
352 3008 1895
353 3018 1904
354 3028 1905
355 3038 1914
356 3048 1915
357 3058 1932
358 3068 1933
359 3078 1942
360 3088 1935
361 3098 1944
362 3108 1945
363 3118 1962
364 3128 1963
365 3138 1980
366 3148 1965
367 3158 1982
368 3168 1983
369 3178 2016
370 3188 2017
371 3198 2026
372 3208 2019
373 3218 2028
374 3228 2021
375 3238 2046
376 3248 2039
377 3258 2048
378 3268 2025
379 3278 2034
380 3288 2039
381 3298 2052
382 3308 2057
383 3318 2070
384 3328 2067
385 3338 2080
386 3348 2085
387 3358 2106
388 3368 2111
389 3378 2124
390 3388 2121
391 3398 2134
392 3408 2131
393 3418 2160
394 3428 2157
